prt1,prt2,momid,partner,samples,inf,lact_residence,doc_next_infant,doc_infant,dob_infant,day_resumecycle,realdad,nextdad,score_lac,male_dob,DSI,dyad,PHG,dyad_index,prt1_index,prt2_index
ua,tp,ua,tp,40,xo,ENK,NA,10/24/2015,4/19/2016,9/30/2016,0,0,0.60807517,1/1/2004,0.400445546,ua_tp,0,108,27,24
ua,yr,ua,yr,40,xo,ENK,NA,10/24/2015,4/19/2016,9/30/2016,1,0,0.96395584,5/17/2007,0.885753421,ua_yr,0,110,27,41
ua,yy,ua,yy,40,xo,ENK,NA,10/24/2015,4/19/2016,9/30/2016,0,0,0.513118165,1/22/2009,0.368296411,ua_yy,0,111,27,42
bt,uj,uj,bt,59,zu,PHG,NA,7/29/2015,1/23/2016,9/19/2016,0,0,0.835970424,NA,1.11425259,uj_bt,1,112,2,29
uj,jy,uj,jy,59,zu,PHG,NA,7/29/2015,1/23/2016,9/19/2016,1,0,0.86623031,5/4/2006,10.05921864,uj_jy,1,113,29,10
uj,oz,uj,oz,59,zu,PHG,NA,7/29/2015,1/23/2016,9/19/2016,0,0,0.808102192,9/18/2006,0.122080694,uj_oz,1,114,29,15
uj,ph,uj,ph,59,zu,PHG,NA,7/29/2015,1/23/2016,9/19/2016,0,0,0.767492215,9/6/2007,0.80287078,uj_ph,1,115,29,16
uj,pz,uj,pz,59,zu,PHG,NA,7/29/2015,1/23/2016,9/19/2016,0,0,0.804078586,5/4/2000,0.229627932,uj_pz,1,116,29,17
uj,um,uj,um,59,zu,PHG,NA,7/29/2015,1/23/2016,9/19/2016,0,0,0.054478779,5/19/2010,3.147569901,uj_um,1,117,29,31
uj,xh,uj,xh,59,zu,PHG,NA,7/29/2015,1/23/2016,9/19/2016,0,0,0.063251671,6/11/2010,0.076713961,uj_xh,1,118,29,38
jj,uk,uk,jj,51,yx,ENK,NA,12/30/2014,6/26/2015,1/15/2016,0,0,0.398562288,11/20/2006,0.155003604,uk_jj,0,119,9,30
uk,s1,uk,s1,51,yx,ENK,NA,12/30/2014,6/26/2015,1/15/2016,0,0,0.067934965,NA,0.523526188,uk_s1,0,120,30,21
uk,tp,uk,tp,51,yx,ENK,NA,12/30/2014,6/26/2015,1/15/2016,0,0,0.447013488,1/1/2004,0.089519947,uk_tp,0,121,30,24
uk,yn,uk,yn,51,yx,ENK,NA,12/30/2014,6/26/2015,1/15/2016,1,0,1,9/24/2005,1.705074579,uk_yn,0,122,30,39
uk,yr,uk,yr,51,yx,ENK,NA,12/30/2014,6/26/2015,1/15/2016,0,0,0.630799212,5/17/2007,0.112039481,uk_yr,0,123,30,41
uk,yy,uk,yy,51,yx,ENK,NA,12/30/2014,6/26/2015,1/15/2016,0,0,0.021574649,1/22/2009,0.102847572,uk_yy,0,124,30,42
bt,un,un,bt,65,cg,PHG,1/5/2015,12/13/2013,6/9/2014,11/26/2014,0,0,0.847890946,NA,0,un_bt,1,125,2,32
