prt1,prt2,momid,partner,infid,sample,dadid,natalto,doc_next_infant,doc_infant,resumecycl,realdad,nextdad,group,dyad,DSI,rDSI,score_cyclf,PHG,dyad_index,prt1_index,prt2_index
ty,xh,ty,xh,ru,2,jy,PHG,12/31/2016,5/29/2015,7/14/2016,0,0,PHG,tyxh,0,0,0.066484904,1,100,24,35
ty,ub,ty,ub,ru,2,jy,PHG,12/31/2016,5/29/2015,7/14/2016,0,0,PHG,tyub,0,0,0,1,98,24,26
ty,ph,ty,ph,ru,2,jy,PHG,12/31/2016,5/29/2015,7/14/2016,0,0,PHG,typh,0,0,1,1,96,24,15
ty,oz,ty,oz,ru,2,jy,PHG,12/31/2016,5/29/2015,7/14/2016,0,0,PHG,tyoz,0.805399391,1.610798783,0.780719342,1,95,24,14
ty,jy,ty,jy,ru,2,jy,PHG,12/31/2016,5/29/2015,7/14/2016,1,0,PHG,tyjy,0,0,0.763216122,1,94,24,9
s1,ua,ua,s1,ah,17,tp,ENK,9/1/2014,4/21/2013,3/27/2014,0,0,ENK,uas1,3.875203146,1.961462408,0.098036667,0,102,20,25
ua,jj,ua,jj,ah,17,tp,ENK,9/1/2014,4/21/2013,3/27/2014,0,0,ENK,uajj,1.404052975,2.112881921,0.050191053,0,101,25,8
ua,tp,ua,tp,ah,17,tp,ENK,9/1/2014,4/21/2013,3/27/2014,1,0,ENK,uatp,1.676807211,3.353614422,0.688908442,0,103,25,22
s1,uk,uk,s1,yx,7,yn,ENK,5/5/2016,12/30/2014,1/15/2016,0,0,ENK,uks1,0,0,0.00059139,0,105,20,27
uk,yy,uk,yy,yx,7,yn,ENK,5/5/2016,12/30/2014,1/15/2016,0,0,ENK,ukyy,0.184198202,0.368396404,0.095903659,0,108,27,38
uk,yr,uk,yr,yx,7,yn,ENK,5/5/2016,12/30/2014,1/15/2016,0,0,ENK,ukyr,0,0,0.528830834,0,107,27,37
uk,tp,uk,tp,yx,7,yn,ENK,5/5/2016,12/30/2014,1/15/2016,0,0,ENK,uktp,0,0,0.188538775,0,106,27,22
uk,jj,uk,jj,yx,7,yn,ENK,5/5/2016,12/30/2014,1/15/2016,0,0,ENK,ukjj,0.168244847,0.336489695,0.198030521,0,104,27,8
sn,un,un,sn,zi,10,oz,PHG,5/16/2016,1/5/2015,12/1/2015,0,0,PHG,unsn,0,0,0.515381981,1,115,21,29
un,xh,un,xh,zi,10,oz,PHG,5/16/2016,1/5/2015,12/1/2015,0,0,PHG,unxh,0,0,0.038101713,1,116,29,35
un,oe,un,oe,zi,10,oz,PHG,5/16/2016,1/5/2015,12/1/2015,0,0,PHG,unoe,0.270919611,0.541839222,0.907871903,1,111,29,11
un,ph,un,ph,zi,10,oz,PHG,5/16/2016,1/5/2015,12/1/2015,0,0,PHG,unph,4.606444768,7.248834759,0.443895611,1,113,29,15
un,pz,un,pz,zi,10,oz,PHG,5/16/2016,1/5/2015,12/1/2015,0,0,PHG,unpz,1.226107741,2.452215483,0.700807774,1,114,29,16
un,jy,un,jy,zi,10,oz,PHG,5/16/2016,1/5/2015,12/1/2015,0,0,PHG,unjy,0,0,0.983170063,1,110,29,9
un,bt,un,bt,zi,10,oz,PHG,5/16/2016,1/5/2015,12/1/2015,0,0,PHG,unbt,0,0,0.846243078,1,109,29,2
un,oz,un,oz,zi,10,oz,PHG,5/16/2016,1/5/2015,12/1/2015,1,0,PHG,unoz,0,0,0.766167095,1,112,29,14
jy,ur,ur,jy,cu,6,oe,PHG,8/2/2014,3/18/2013,4/22/2014,0,0,PHG,urjy,0,0,0.583620323,1,119,9,30
ur,oz,ur,oz,cu,6,oe,PHG,8/2/2014,3/18/2013,4/22/2014,0,1,PHG,uroz,15.37053126,6.664140263,0.692061692,1,121,30,14
ur,yr,ur,yr,cu,6,oe,PHG,8/2/2014,3/18/2013,4/22/2014,0,0,PHG,uryr,0,0,0.603924859,1,124,30,37
ur,ph,ur,ph,cu,6,oe,PHG,8/2/2014,3/18/2013,4/22/2014,0,0,PHG,urph,0,0,0,1,122,30,15
ur,ez,ur,ez,cu,6,oe,PHG,8/2/2014,3/18/2013,4/22/2014,0,0,PHG,urez,0,0,0.210164364,1,118,30,5
ur,bt,ur,bt,cu,6,oe,PHG,8/2/2014,3/18/2013,4/22/2014,0,0,PHG,urbt,0,0,0.828340846,1,117,30,2
ur,pz,ur,pz,cu,6,oe,PHG,8/2/2014,3/18/2013,4/22/2014,0,0,PHG,urpz,4.626898493,9.253796986,0.800336173,1,123,30,16
ur,oe,ur,oe,cu,6,oe,PHG,8/2/2014,3/18/2013,4/22/2014,1,0,PHG,uroe,0,0,1,1,120,30,11
bt,ut,ut,bt,uw,5,tp,ENK,2/20/2015,12/22/2013,11/3/2014,0,0,PHG,utbt,0,0,0.890375316,1,125,2,31
ut,s1,ut,s1,uw,5,tp,ENK,2/20/2015,12/22/2013,11/3/2014,0,0,ENK,uts1,0,0,0.351909795,0,127,31,20
ut,yy,ut,yy,uw,5,tp,ENK,2/20/2015,12/22/2013,11/3/2014,0,0,ENK,utyy,1.4323134,0.500863921,0,0,131,31,38
ut,yr,ut,yr,uw,5,tp,ENK,2/20/2015,12/22/2013,11/3/2014,0,1,ENK,utyr,1.131303172,2.262606345,0.549295056,0,130,31,37
ut,tp,ut,tp,uw,5,tp,ENK,2/20/2015,12/22/2013,11/3/2014,1,0,ENK,uttp,0,0,0.820900226,0,128,31,22
ut,yn,ut,yn,uy,7,yr,ENK,3/2/2016,2/20/2015,12/23/2015,0,0,ENK,utyn,0,0,1,0,129,31,36
ut,yy,ut,yy,uy,7,yr,ENK,3/2/2016,2/20/2015,12/23/2015,0,0,ENK,utyy,0,0,0.03601498,0,131,31,38
ut,jj,ut,jj,uy,7,yr,ENK,3/2/2016,2/20/2015,12/23/2015,0,0,ENK,utjj,0.504735426,1.009470851,0.227023381,0,126,31,8
ut,tp,ut,tp,uy,7,yr,ENK,3/2/2016,2/20/2015,12/23/2015,0,0,ENK,uttp,0,0,0.270847646,0,128,31,22
ut,s1,ut,s1,uy,7,yr,ENK,3/2/2016,2/20/2015,12/23/2015,0,0,ENK,uts1,0.844201661,0,0.00011282,0,127,31,20
ut,yr,ut,yr,uy,7,yr,ENK,3/2/2016,2/20/2015,12/23/2015,1,0,ENK,utyr,0,0,0.501506997,0,130,31,37
jj,uv,uv,jj,cf,11,tp,ENK,11/4/2014,9/16/2013,8/18/2014,0,0,ENK,uvjj,1.756205781,3.512411562,0.319281673,0,132,8,32
uv,s1,uv,s1,cf,11,tp,ENK,11/4/2014,9/16/2013,8/18/2014,0,0,ENK,uvs1,0.561589399,1.123178798,0.090218095,0,133,32,20
uv,yr,uv,yr,cf,11,tp,ENK,11/4/2014,9/16/2013,8/18/2014,0,1,ENK,uvyr,0.249191617,0.498383234,0.887380121,0,136,32,37
uv,tp,uv,tp,cf,11,tp,ENK,11/4/2014,9/16/2013,8/18/2014,1,0,ENK,uvtp,1.435477841,2.870955683,0.992216425,0,134,32,22
uv,s1,uv,s1,cj,8,yr,ENK,11/27/2015,11/4/2014,8/10/2015,0,0,ENK,uvs1,0,0,0.043464766,0,133,32,20
uv,yn,uv,yn,cj,8,yr,ENK,11/27/2015,11/4/2014,8/10/2015,0,0,ENK,uvyn,0,0,1,0,135,32,36
uv,jj,uv,jj,cj,8,yr,ENK,11/27/2015,11/4/2014,8/10/2015,0,0,ENK,uvjj,0.462966891,0.925933783,0.363265345,0,132,32,8
uv,tp,uv,tp,cj,8,yr,ENK,11/27/2015,11/4/2014,8/10/2015,0,0,ENK,uvtp,0.509965293,1.019930586,0.438646207,0,134,32,22
uv,yy,uv,yy,cj,8,yr,ENK,11/27/2015,11/4/2014,8/10/2015,0,0,ENK,uvyy,1.036826835,0.59630187,0.017584534,0,137,32,38
