prt1,prt2,momid,partner,infid,samples,nextdad,realdad,momgrp,doc_infant,dob_infant,group,score_preg,DSI,dyad,PHG,dyad_index,prt1_index,prt2_index
qp,sn,qp,sn,qr,20,0,0,ENK,8/17/2013,2/11/2014,ENK,1,0,qp_sn,0,73,20,22
qp,jj,qp,jj,qy,35,0,0,ENK,10/4/2014,3/31/2015,ENK,0.40830465,7.634477881,qp_jj,0,71,20,9
qp,s1,qp,s1,qy,35,0,0,ENK,10/4/2014,3/31/2015,ENK,0.357765013,0.049409797,qp_s1,0,72,20,21
qp,tp,qp,tp,qy,35,0,1,ENK,10/4/2014,3/31/2015,ENK,0.801761372,0.512248846,qp_tp,0,74,20,23
qp,yr,qp,yr,qy,35,0,0,ENK,10/4/2014,3/31/2015,ENK,0.616490469,0.160996666,qp_yr,0,75,20,37
qp,yy,qp,yy,qy,35,0,0,ENK,10/4/2014,3/31/2015,ENK,0,0.209269906,qp_yy,0,76,20,38
yn,tr,tr,yn,rh,37,0,1,ENK,11/24/2015,5/20/2016,YNT,1,1.992978512,tr_yn,0,84,35,24
tr,bt,tr,bt,rq,82,0,1,PHG,3/30/2014,9/24/2014,PHG,0.833849536,7.044041815,tr_bt,1,77,24,2
tr,ez,tr,ez,rq,82,0,0,PHG,3/30/2014,9/24/2014,PHG,0.214503009,0.383548778,tr_ez,1,78,24,5
tr,jy,tr,jy,rq,82,0,0,PHG,3/30/2014,9/24/2014,PHG,0.582571104,0.342305347,tr_jy,1,79,24,10
tr,oe,tr,oe,rq,82,0,0,PHG,3/30/2014,9/24/2014,PHG,0.996041376,0.029134319,tr_oe,1,80,24,13
tr,oz,tr,oz,rq,82,0,0,PHG,3/30/2014,9/24/2014,PHG,0.702946704,0,tr_oz,1,81,24,15
tr,ph,tr,ph,rq,82,0,0,PHG,3/30/2014,9/24/2014,PHG,0,0.114062369,tr_ph,1,82,24,16
tr,pz,tr,pz,rq,82,0,0,PHG,3/30/2014,9/24/2014,PHG,0.799137457,0.186664475,tr_pz,1,83,24,17
bt,ty,ty,bt,ru,47,0,0,PHG,5/29/2015,11/23/2015,PHG,0.714808712,0.104245836,ty_bt,1,85,2,25
ty,jy,ty,jy,ru,47,0,1,PHG,5/29/2015,11/23/2015,PHG,0.98769834,4.271385616,ty_jy,1,86,25,10
ty,oz,ty,oz,ru,47,0,0,PHG,5/29/2015,11/23/2015,PHG,0.874937701,0.047810473,ty_oz,1,87,25,15
ty,ph,ty,ph,ru,47,0,0,PHG,5/29/2015,11/23/2015,PHG,0.232848982,0.167578381,ty_ph,1,88,25,16
ty,pz,ty,pz,ru,47,0,0,PHG,5/29/2015,11/23/2015,PHG,0.737369548,0.563910351,ty_pz,1,89,25,17
ty,sn,ty,sn,ru,47,0,0,PHG,5/29/2015,11/23/2015,PHG,0.607143477,3.615066568,ty_sn,1,90,25,22
jj,ua,ua,jj,av,45,0,0,ENK,9/1/2014,2/26/2015,ENK,0.379566024,0.833148472,ua_jj,0,91,9,26
ua,s1,ua,s1,av,45,0,0,ENK,9/1/2014,2/26/2015,ENK,0.2701448,0.090714447,ua_s1,0,92,26,21
ua,tp,ua,tp,av,45,0,0,ENK,9/1/2014,2/26/2015,ENK,0.871826343,0.418484672,ua_tp,0,93,26,23
ua,jj,ua,jj,xo,46,0,0,ENK,10/24/2015,4/19/2016,ENK,0.211673792,0.627203586,ua_jj,0,91,26,9
ua,s1,ua,s1,xo,46,0,0,ENK,10/24/2015,4/19/2016,ENK,0.002330346,0.530092964,ua_s1,0,92,26,21
ua,tp,ua,tp,xo,46,0,0,ENK,10/24/2015,4/19/2016,ENK,0.261862193,0.40906553,ua_tp,0,93,26,23
ua,yn,ua,yn,xo,46,0,0,ENK,10/24/2015,4/19/2016,ENK,1,0,ua_yn,0,94,26,35
ua,yr,ua,yr,xo,46,0,1,ENK,10/24/2015,4/19/2016,ENK,0.528997433,2.300086734,ua_yr,0,95,26,37
ua,yy,ua,yy,xo,46,0,0,ENK,10/24/2015,4/19/2016,ENK,0.050510199,0.941745077,ua_yy,0,96,26,38
bt,uj,uj,bt,zu,40,0,0,PHG,7/29/2015,1/23/2016,PHG,0.726513097,2.69497039,uj_bt,1,97,2,27
uj,jy,uj,jy,zu,40,0,1,PHG,7/29/2015,1/23/2016,PHG,1,0.279422158,uj_jy,1,98,27,10
uj,oe,uj,oe,zu,40,0,0,PHG,7/29/2015,1/23/2016,PHG,0.839619437,0.057191308,uj_oe,1,99,27,13
uj,oz,uj,oz,zu,40,0,0,PHG,7/29/2015,1/23/2016,PHG,0.784699133,0.139207295,uj_oz,1,100,27,15
uj,ph,uj,ph,zu,40,0,0,PHG,7/29/2015,1/23/2016,PHG,0.253030075,4.352391198,uj_ph,1,101,27,16
uj,pz,uj,pz,zu,40,0,0,PHG,7/29/2015,1/23/2016,PHG,0.664672173,0.446439467,uj_pz,1,102,27,17
uj,sn,uj,sn,zu,40,0,0,PHG,7/29/2015,1/23/2016,PHG,0.534884797,0.474304364,uj_sn,1,103,27,22
jj,uk,uk,jj,yx,43,0,0,ENK,12/30/2014,6/26/2015,ENK,0.443637586,0.060971913,uk_jj,0,104,9,28
uk,s1,uk,s1,yx,43,0,0,ENK,12/30/2014,6/26/2015,ENK,0.380349099,0.14716449,uk_s1,0,105,28,21
uk,tp,uk,tp,yx,43,0,0,ENK,12/30/2014,6/26/2015,ENK,0.57294072,0.240174985,uk_tp,0,106,28,23
uk,yn,uk,yn,yx,43,0,1,ENK,12/30/2014,6/26/2015,ENK,1,1.323704351,uk_yn,0,107,28,35
uk,yr,uk,yr,yx,43,0,0,ENK,12/30/2014,6/26/2015,ENK,0.60948601,0.030485973,uk_yr,0,108,28,37
uk,yy,uk,yy,yx,43,0,0,ENK,12/30/2014,6/26/2015,ENK,0,0.290480079,uk_yy,0,109,28,38
bt,un,un,bt,cg,64,0,0,PHG,12/13/2013,6/9/2014,PHG,0.786192065,0,un_bt,1,110,2,29
un,ez,un,ez,cg,64,0,0,PHG,12/13/2013,6/9/2014,PHG,0.128237009,0.146775351,un_ez,1,111,29,5
un,jy,un,jy,cg,64,0,0,PHG,12/13/2013,6/9/2014,PHG,0.521767047,0.051575769,un_jy,1,112,29,10
un,oe,un,oe,cg,64,0,1,PHG,12/13/2013,6/9/2014,PHG,1,0.687288631,un_oe,1,113,29,13
un,ph,un,ph,cg,64,0,0,PHG,12/13/2013,6/9/2014,PHG,0,0.895357773,un_ph,1,115,29,16
un,pz,un,pz,cg,64,0,0,PHG,12/13/2013,6/9/2014,PHG,0.79694842,1.334579898,un_pz,1,116,29,17
un,bt,un,bt,zi,44,0,0,PHG,1/5/2015,7/2/2015,PHG,0.809022998,0.217639461,un_bt,1,110,29,2
un,jy,un,jy,zi,44,0,0,PHG,1/5/2015,7/2/2015,PHG,0.877833166,0.051070273,un_jy,1,112,29,10
un,oz,un,oz,zi,44,0,1,PHG,1/5/2015,7/2/2015,PHG,0.933748738,1.333783891,un_oz,1,114,29,15
un,ph,un,ph,zi,44,0,0,PHG,1/5/2015,7/2/2015,PHG,0.187891647,0.780197255,un_ph,1,115,29,16
un,pz,un,pz,zi,44,0,0,PHG,1/5/2015,7/2/2015,PHG,0.9042793,1.070897107,un_pz,1,116,29,17
un,sn,un,sn,zi,44,0,0,PHG,1/5/2015,7/2/2015,PHG,0.751658081,0.330373547,un_sn,1,117,29,22
un,xc,un,xc,zi,44,0,0,PHG,1/5/2015,7/2/2015,PHG,0,0.116468698,un_xc,1,118,29,34
bt,ur,ur,bt,cp,57,0,0,PHG,8/2/2014,1/27/2015,PHG,0.864202515,0.089511548,ur_bt,1,119,2,30
ur,ez,ur,ez,cp,57,0,0,PHG,8/3/2014,1/28/2015,PHG,0.23910876,0.235865524,ur_ez,1,120,30,5
ur,jy,ur,jy,cp,57,0,0,PHG,8/5/2014,1/30/2015,PHG,0.579267338,0.651014344,ur_jy,1,121,30,10
ur,oe,ur,oe,cp,57,0,0,PHG,8/6/2014,1/31/2015,PHG,0.965407582,1.710696514,ur_oe,1,122,30,13
ur,oz,ur,oz,cp,57,0,1,PHG,8/7/2014,2/1/2015,PHG,0.784946611,6.269042829,ur_oz,1,123,30,15
ur,ph,ur,ph,cp,57,0,0,PHG,8/8/2014,2/2/2015,PHG,0.012158277,0.766121622,ur_ph,1,124,30,16
ur,pz,ur,pz,cp,57,0,0,PHG,8/9/2014,2/3/2015,PHG,0.785508433,0.886623568,ur_pz,1,125,30,17
ur,sn,ur,sn,cp,57,0,0,PHG,8/10/2014,2/4/2015,PHG,0.650300433,0,ur_sn,1,126,30,22
ur,xc,ur,xc,cp,57,0,0,PHG,8/12/2014,2/6/2015,PHG,0.038494231,0.166618666,ur_xc,1,127,30,34
jj,ut,ut,jj,uw,61,0,0,ENK,12/22/2013,6/18/2014,ENK,0.015999834,0.180342986,ut_jj,0,128,9,31
ut,s1,ut,s1,uw,61,0,0,ENK,12/22/2013,6/18/2014,ENK,0.341918651,0.074829873,ut_s1,0,129,31,21
ut,tp,ut,tp,uw,61,0,1,ENK,12/22/2013,6/18/2014,ENK,0.70897121,0.094780298,ut_tp,0,130,31,23
ut,jj,ut,jj,uy,47,0,0,ENK,2/20/2015,8/17/2015,ENK,0.548176988,0.079826627,ut_jj,0,128,31,9
ut,s1,ut,s1,uy,47,0,0,ENK,2/20/2015,8/17/2015,ENK,0.329197887,0.979468723,ut_s1,0,129,31,21
ut,tp,ut,tp,uy,47,0,0,ENK,2/20/2015,8/17/2015,ENK,0.550544141,0.140131525,ut_tp,0,130,31,23
ut,yn,ut,yn,uy,47,0,0,ENK,2/20/2015,8/17/2015,ENK,1,0.272785546,ut_yn,0,131,31,35
ut,yr,ut,yr,uy,47,0,1,ENK,2/20/2015,8/17/2015,ENK,0.685102583,0.211408996,ut_yr,0,132,31,37
ut,yy,ut,yy,uy,47,0,0,ENK,2/20/2015,8/17/2015,ENK,0,0.425241098,ut_yy,0,133,31,38
